gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPAC212.09C,2.2799542645043647,5.088142353039906,1.6731684760752932,3.0410221240690753,0.00235776505441982,0.003756815631652248
SPNCRNA.70,6.188688821523995,3.2576161893190454,0.9528992254770596,3.418636622029105,6.293571354278483e-4,0.0010548969848176333
SPAC212.12,33.98068347387455,1.5376374695722206,0.34970930303447545,4.396901815965232,1.0980698533628164e-5,2.0885549636239114e-5
SPNCRNA.2018,18.744363902692577,3.9223267286048515,0.6547257724508304,5.990793235345591,2.08819989960748e-9,4.800711165045967e-9
SPAC977.07C,10.142099654639825,2.3176373267281143,0.7072259725820046,3.2770817483790564,0.001048859972515519,0.0017270021961246908
SPNCRNA.602,1318.5348739841388,6.52710304026032,0.1560653269125487,41.82289025619243,0,0
SPNCRNA.19,309.9813974864671,1.6605182683286177,0.12398792347642301,13.39258067858822,6.681805827156369e-41,3.3728024128382654e-40
SPNCRNA.2024,2186.792127283835,9.642001822393198,0.3168553903932814,30.430291277120233,2.18398976958482e-203,7.651718003379716e-202
SPNCRNA.2028,74.49732561590878,1.1918761979591037,0.22888151213779986,5.207393934209616,1.915112397546337e-7,4.0253391927127656e-7
SPAC977.16C,2808.9834884556735,2.1931197999044754,0.09834801916045358,22.299582834774004,3.729606155514638e-110,5.0649078088995805e-109
SPNCRNA.603,31.451655773471344,4.175930962646515,0.49846214794277877,8.37762903338027,5.400454518681882e-17,1.6064351271095417e-16
SPAC1F8.01,71.65932570486287,2.346072167420522,0.25092561871673563,9.349671745031944,8.792016124702066e-21,2.8928884398088877e-20
SPAC1F8.02C,86.35038183946918,4.400712384521658,0.3302996459008705,13.32339419413849,1.6923503642579399e-40,8.488273195062484e-40
SPAC1F8.03C,270.86641687013605,5.486678032498529,0.24523933479198043,22.37274879722088,7.252730291709434e-111,9.97524182513625e-110
SPNCRNA.604,14.364188679469697,2.7097746800665203,0.6044878344736944,4.482761315495824,7.368332911360876e-6,1.416950281525422e-5
SPNCRNA.605,455.19799316647294,1.8413976108771455,0.11540617060072879,15.955798561654355,2.596313853473625e-57,1.7214752885125796e-56
SPAC1F8.04C,4430.887416522975,7.271992172338191,0.23763994573846509,30.6008829859833,1.1912926980146202e-205,4.327388996898507e-204
SPAC1F8.05,1865.7041823016411,2.023849334708774,0.3473877545626496,5.825908680220284,5.680267190451054e-9,1.2834520906186105e-8
SPNCRNA.607,719.7067311296114,1.8458215330225436,0.12515120854695397,14.748731190478534,3.1350332646390935e-49,1.8297222237484546e-48
SPAC1F8.06,1607.0419340888002,4.707074544662509,0.12488102532218591,37.69247195495493,0,0
SPAC1F8.07C,88889.35752740929,2.5606425661165644,0.05248047906932328,48.79228641823416,0,0
SPNCRNA.2049,72.40065700176018,1.317770866854027,0.24481044254920503,5.382821309140704,7.33273235315889e-8,1.5725138813130672e-7
SPNCRNA.2052,37.3829147996102,4.940806775679161,0.5420422796391968,9.115168615569884,7.854823391129898e-20,2.5180513967991406e-19
SPAC11D3.01C,7692.998500595123,3.6885059449386253,0.2817790182198113,13.090065996543721,3.752816162614736e-39,1.8273375410231787e-38
SPNCRNA.2053,23.660588684805422,1.109175949023478,0.46052548575355307,2.4085006874452235,0.016018196121585514,0.023397986736377906
SPNCRNA.2054,40.555277306693725,6.839741395074034,0.9223097035281216,7.415883589763715,1.2081658546334232e-13,3.2420349083546336e-13
SPAC11D3.08C,2778.521641966064,1.3264323323018865,0.07162664648837808,18.518699357467607,1.4591977308632075e-76,1.3150547586668268e-75
SPAC11D3.09,129.3486701289026,1.6556565613664787,0.18142300348609883,9.12594615651008,7.111233886804603e-20,2.284623757122629e-19
SPAC11D3.11C,938.5061971386806,1.5069635278817,0.0844193634335382,17.850922662643676,2.8430037770738273e-71,2.384337870262625e-70
SPAC11D3.13,645.9375125501901,1.7249370323999582,0.10707397617815088,16.109769095807078,2.1783577113222064e-58,1.4749063474829942e-57
SPNCRNA.610,72.38659209470498,1.530208547981424,0.24918968378768194,6.140737949991596,8.213899153614936e-10,1.9117333682607716e-9
SPAC11D3.16C,2358.4636647182488,2.9077800967509257,0.0754942098637215,38.516597524497705,0,0
SPAC11D3.18C,416.46082252865307,1.1670366774663428,0.13175424485876788,8.857678010430186,8.169828935987059e-19,2.551347949893427e-18
SPAC5H10.01,350.5671647932117,1.620254021755795,0.11637793819413164,13.922346854547525,4.63433320065963e-44,2.4709488411621497e-43
SPRRNA.10,9.752836728788694,1.3193059435494572,0.6222413512856786,2.12024794048724,0.033985141419643,0.047723472630310966
SPNCRNA.2065,5.363594170974992,3.7735583130269306,1.1152452624520737,3.383612950509256,7.153877494380143e-4,0.0011940270230930182
SPNCRNA.2066,9.902235331293731,2.219777469237254,0.6615548792244388,3.355394297506456,7.925193672309359e-4,0.0013179922016080712
SPNCRNA.616,50.58632077699803,2.026889679464726,0.3354591091559123,6.04213635624568,1.520868453502235e-9,3.5107454632306955e-9
SPNCRNA.2071,2.281130539563135,4.098694477733239,1.781017965346213,2.3013212429536,0.021373479886995995,0.03083634854066844
SPAC13G6.03,1973.6863824533807,1.2665734027849034,0.07243277534850354,17.486191806000857,1.8255610347562591e-68,1.4597092352183405e-67
SPAC13G6.05C,991.9930631405887,2.435946915717107,0.08257461534396432,29.499948689681172,2.883315137958899e-191,9.056821714511747e-190
SPNCRNA.2075,35.4165734271795,7.207799152726957,1.0634014185375935,6.77806050196852,1.2179984695245291e-11,3.0500185823872854e-11
SPNCRNA.2076,12.493751206330083,7.543309777261008,1.2834633760890237,5.8773081630478785,4.169915126520964e-9,9.463421795373948e-9
SPNCRNA.2077,3.5503817208366035,5.714121343589533,1.5257005445866978,3.7452443494653473,1.8021828376225295e-4,3.1612278422642567e-4
SPAC13G6.14,1649.821154813082,1.1505026754084908,0.06963557234658516,16.52176662930681,2.5579441772754477e-61,1.8062716128381544e-60
SPNCRNA.2083,12.78394713373758,4.046060622028669,0.7648026044732267,5.290333215870095,1.220937149615196e-7,2.592493764702017e-7
SPNCRNA.621,326.4161362672661,1.035850170067222,0.11856338375167795,8.736678536745645,2.4006436967057517e-18,7.391685558083596e-18
SPAC24B11.05,1805.909845346864,2.5738445324827013,0.07764519972093334,33.148791447937846,5.895059240356776e-241,2.748397304106494e-239
SPNCRNA.622,7120.837785491698,3.7497107806612613,0.0630866251078042,59.437492087326746,0,0
SPNCRNA.142,232.66307101440287,2.2088749919311024,0.14987056198002505,14.738551472339873,3.6451959940086365e-49,2.121199555825566e-48
SPAC24B11.11C,2601.3243807300555,1.6942349219577346,0.062041500270462846,27.308090787165213,3.3998562645997895e-164,8.183149976705428e-163
SPNCRNA.2097,19.437705058445662,3.653365080747965,0.5749800583512608,6.3538987616786,2.0992502183382627e-10,5.017017373473603e-10
SPNCRNA.03,3449.741923650609,5.609704140497865,0.210327429581002,26.671291289362888,1.0136979926742355e-156,2.247979705851741e-155
SPNCRNA.626,300.67324399820734,2.365322691530491,0.1874998927667231,12.615061569519368,1.7442127919750442e-36,8.106345322829071e-36
SPNCRNA.628,184.29514967845998,3.365577232589419,0.20327699314539835,16.556606729134938,1.4345992953760885e-61,1.0178864503201701e-60
SPNCRNA.2099,59.983132694800844,3.4162922304803702,0.33140693997268295,10.30845108663677,6.453297626409542e-25,2.357185394569457e-24
SPAC806.04C,3669.0353115593857,1.300756693852564,0.06334490989443926,20.534510129072757,1.058766591532824e-93,1.1918169179592872e-92
SPNCRNA.2100,44.31212176485749,1.4820178801210293,0.30519494345102466,4.855971279743212,1.197980656294046e-6,2.413488760094265e-6
SPNCRNA.2101,37.532530324036806,1.5151245927134855,0.32230877176546313,4.7008481476142006,2.5908313126410776e-6,5.118555956672613e-6
SPAC806.07,4006.079191632508,2.083517681490237,0.06862831017397449,30.35944898262055,1.8853930919580674e-202,6.566713233813951e-201
SPNCRNA.2102,33.64689439597086,2.835706142543815,0.3904182928376144,7.263251221999637,3.7789513641050716e-13,9.968888851354925e-13
SPNCRNA.630,110.97934885350026,1.340187054626555,0.20819536272053624,6.437160929590484,1.2172885292898073e-10,2.935274030513113e-10
SPAC1639.02C,5438.702986569103,2.2604705501599036,0.060290576078249995,37.49293334377966,1.2007474602920964e-307,7.988343497066857e-306
SPNCRNA.2108,8.554768872846385,6.01510531250235,1.3193001617802707,4.559315223902902,5.132068906318948e-6,9.948266490199538e-6
SPAC1F5.10,3446.2252184274244,1.0003182012259266,0.05836074136983672,17.140258635284113,7.431936225656346e-66,5.689010264009208e-65
SPNCRNA.2110,23.2150589050471,2.153198850602011,0.43010604759200866,5.006204545732171,5.551376512064467e-7,1.141110929627971e-6
SPAC1F5.09C,255.4411253272832,1.8657487600230118,0.14861384493558222,12.55434014799721,3.763051480642647e-36,1.7352825402558497e-35
SPNCRNA.2115,4.406541813383126,2.8123895402166403,1.164726759863049,2.4146346054136565,0.01575100187437236,0.023044645934805718
SPAC18B11.09C,1422.2222249254396,1.612362463442885,0.07742234144213896,20.825545099896942,2.5401935437424125e-96,2.96656528057176e-95
SPNCRNA.2120,57.729465927897714,1.3122420444736138,0.27974281343019897,4.690887420423555,2.720226240839311e-6,5.361670962719561e-6
SPAC18B11.07C,3026.8863837505446,1.2352016651614028,0.0777244443050869,15.892061708578359,7.192260442514259e-57,4.734338419135845e-56
SPNCRNA.637,307.33526332612433,1.4209693374432046,0.1355069823552977,10.486318215820347,9.984350101720466e-26,3.7075783601308797e-25
